ID,Nome da Escola,ID,Investimento
1,IEI ANJO DAS FLORES        ,1,200000
2,ECEI ABRASCE ILHA DO PAVÃO        ,2,100000
3,IEI UNIÃO ESPERANÇA        ,3,100000
4,IEI IRMÃO MÁRIO FRIGO        ,4,400000
5,ESCOLA MARISTA DE EDUCAÇÃO INFANTIL BOA MÃE        ,5,200000
6,IEI JOÃO PAULO II        ,6,250000
7,IEI SANTA LUIZA        ,7,200000
8,IEI TECNOBABY        ,8,150000
9,IEI VITÓRIA,9,150000
10,IEI MUNDO COLORIDO        ,10,150000
11,ECEI BRINCANDO E APRENDENDO        ,11,200000
12,EEI ABRASCE LOT. PAMPA        ,12,200000
13,IEI SÃO VICENTE DE PAULO,13,200000
14,EEI NOSSA SENHORA DOS NAVEGANTES        ,14,150000
15,EEI ESTRELINHA DO CÉU,15,150000
16,EEI FAVO DE MEL        ,16,200000
17,EEI JOANA D'ARC        ,17,150000
18,EEI PIMPONETA        ,18,200000
19,EEI POPULAR NOVA GERAÇÃO        ,19,200000
20,EEI TRENZINHO DA ALEGRIA        ,20,150000
21,IEI ACOMPAR STO. AGOSTINHO NÚCLEO        ,21,200000
22,IEI VILA UNIÃO,22,200000
